"","Indicator.Code","Year","count","Indicator.Name"
"211","AG.LND.TOTL.K2",1965,211,"Land area (sq. km)"
"212","AG.LND.TOTL.K2",1966,211,"Land area (sq. km)"
"213","AG.LND.TOTL.K2",1967,211,"Land area (sq. km)"
"214","AG.LND.TOTL.K2",1968,211,"Land area (sq. km)"
"215","AG.LND.TOTL.K2",1969,211,"Land area (sq. km)"
"216","AG.LND.TOTL.K2",1970,211,"Land area (sq. km)"
"217","AG.LND.TOTL.K2",1971,211,"Land area (sq. km)"
"218","AG.LND.TOTL.K2",1972,211,"Land area (sq. km)"
"219","AG.LND.TOTL.K2",1973,211,"Land area (sq. km)"
"220","AG.LND.TOTL.K2",1974,211,"Land area (sq. km)"
"221","AG.LND.TOTL.K2",1975,211,"Land area (sq. km)"
"222","AG.LND.TOTL.K2",1976,211,"Land area (sq. km)"
"223","AG.LND.TOTL.K2",1977,211,"Land area (sq. km)"
"224","AG.LND.TOTL.K2",1978,211,"Land area (sq. km)"
"225","AG.LND.TOTL.K2",1979,211,"Land area (sq. km)"
"226","AG.LND.TOTL.K2",1980,211,"Land area (sq. km)"
"227","AG.LND.TOTL.K2",1981,211,"Land area (sq. km)"
"228","AG.LND.TOTL.K2",1982,211,"Land area (sq. km)"
"229","AG.LND.TOTL.K2",1983,211,"Land area (sq. km)"
"230","AG.LND.TOTL.K2",1984,211,"Land area (sq. km)"
"231","AG.LND.TOTL.K2",1985,211,"Land area (sq. km)"
"232","AG.LND.TOTL.K2",1986,211,"Land area (sq. km)"
"233","AG.LND.TOTL.K2",1987,211,"Land area (sq. km)"
"234","AG.LND.TOTL.K2",1988,211,"Land area (sq. km)"
"235","AG.LND.TOTL.K2",1989,211,"Land area (sq. km)"
"236","AG.LND.TOTL.K2",1990,211,"Land area (sq. km)"
"237","AG.LND.TOTL.K2",1991,215,"Land area (sq. km)"
"238","AG.LND.TOTL.K2",1992,215,"Land area (sq. km)"
"239","AG.LND.TOTL.K2",1993,215,"Land area (sq. km)"
"240","AG.LND.TOTL.K2",1994,215,"Land area (sq. km)"
"241","AG.LND.TOTL.K2",1995,215,"Land area (sq. km)"
"242","AG.LND.TOTL.K2",1996,215,"Land area (sq. km)"
"243","AG.LND.TOTL.K2",1997,215,"Land area (sq. km)"
"244","AG.LND.TOTL.K2",1998,215,"Land area (sq. km)"
"245","AG.LND.TOTL.K2",1999,215,"Land area (sq. km)"
"246","AG.LND.TOTL.K2",2000,216,"Land area (sq. km)"
"247","AG.LND.TOTL.K2",2001,216,"Land area (sq. km)"
"248","AG.LND.TOTL.K2",2002,216,"Land area (sq. km)"
"249","AG.LND.TOTL.K2",2003,216,"Land area (sq. km)"
"250","AG.LND.TOTL.K2",2004,216,"Land area (sq. km)"
"251","AG.LND.TOTL.K2",2005,216,"Land area (sq. km)"
"252","AG.LND.TOTL.K2",2006,216,"Land area (sq. km)"
"253","AG.LND.TOTL.K2",2007,216,"Land area (sq. km)"
"254","AG.LND.TOTL.K2",2008,216,"Land area (sq. km)"
"255","AG.LND.TOTL.K2",2009,216,"Land area (sq. km)"
"256","AG.LND.TOTL.K2",2010,216,"Land area (sq. km)"
"257","AG.LND.TOTL.K2",2011,217,"Land area (sq. km)"
"258","AG.LND.TOTL.K2",2012,217,"Land area (sq. km)"
"259","AG.LND.TOTL.K2",2013,217,"Land area (sq. km)"
"260","AG.LND.TOTL.K2",2014,217,"Land area (sq. km)"
"261","AG.LND.TOTL.K2",2015,217,"Land area (sq. km)"
"262","AG.LND.TOTL.K2",2016,217,"Land area (sq. km)"
"263","AG.LND.TOTL.K2",2017,217,"Land area (sq. km)"
