country_name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Costa Rica,491.378,491.378,550.05,601.388,674.728,847.077,993.757,876.413,1037.761,1147.771,1250.447,1529.139,1763.827,2046.186,1906.84,2038.852,2086.523,2614.571,2922.599,2794.254,2464.224,2251.538,2086.523,2104.858,2002.182,2266.206,2607.237,2757.584,2940.934,2973.937,2870,3060,4150,4180,4850,4810,4530,4490,5020,5040,4950,5420,5520,5800,5940,6270,6560,7600,7520,7200,7110,7430,7450,7780,7830,7540,8080,8180,8260,,
Caribbean small states,5878.201,8804.467,11771.07,5984.544,10652.635,11917.75,11756.402,14026.275,14026.275,14869.685,20960.572,25060.278,25580.992,30670.788,29482.68,31583.871,34766.827,38606.176,37091.705,37524.411,38837.197,32566.627,31620.541,28639.27,28899.627,31972.573,27894.869,29240.658,27146.801,29904.385,28330,27640,28470,28470,29430,30190,30570,31430,33060,33390,32770,34220,34770,34590,35260,38980,42900,42970,39950,48680,39680,41140,42870,41400,40210,39450,36580,35670,36920,,
Cuba,13699.912,12181.774,14169.288,13039.852,14293.966,14609.328,15185.047,15749.765,16035.791,17260.569,18672.364,19607.449,20799.224,22398.036,22911.416,27066.127,27223.808,29402.006,30689.123,31712.216,31400.521,32749.977,34554.141,30843.137,32603.297,32577.628,33567.718,33952.753,35635.906,35738.582,35410,27430,22090,20090,21610,23080,25030,27400,26950,27830,28200,27190,25960,25230,24970,25860,26300,27200,26310,27100,30260,28540,28850,27350,26880,27490,28450,25650,24970,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,11.001,11.001,11.001,11.001,11.001,11.001,18.335,14.668,22.002,44.004,36.67,44.004,55.005,58.672,55.005,55.005,66.006,69.673,91.675,91.675,161.348,154.014,161.348,168.682,183.35,190.684,201.685,216.353,223.687,256.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,887.414,865.412,905.749,986.423,1001.091,1151.438,1243.113,1364.124,1624.481,1672.152,1705.155,1884.838,2405.552,2500.894,1925.175,1980.18,2464.224,2669.576,2808.922,3003.273,3208.625,3047.277,3102.282,3098.615,3182.956,3102.282,3545.989,4121.708,4129.042,4341.728,4560,5070,5430,5690,5930,5800,6160,6250,6550,6810,7070,6930,7110,7770,7710,7870,7940,8240,8400,8180,7820,7550,7020,6380,6750,6780,7150,7300,7230,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150200,136900,134140,130980,124710,125180,126740,124790,118920,111950,123170,122720,118530,122770,123440,120000,120600,123630,118310,111170,113930,110980,107170,102720,99750,100980,102860,103420,102480,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,955310,932370,892750,887010,875810,873090,902750,870900,863140,833350,830080,847500,833180,836550,820830,802170,814160,783600,789550,734660,772920,746380,760020,777630,737490,742310,747150,732200,709540,,
Djibouti,40.337,44.004,47.671,66.006,84.341,121.011,139.346,88.008,121.011,84.341,139.346,161.348,190.684,179.683,194.351,198.018,198.018,198.018,201.685,363.033,348.365,300.694,348.365,348.365,352.032,359.366,377.701,388.702,348.365,388.702,330,340,340,340,330,330,340,350,350,350,370,380,400,410,400,430,430,470,470,460,520,480,510,560,460,540,490,470,490,,
Dominica,11.001,11.001,11.001,14.668,14.668,14.668,14.668,22.002,22.002,18.335,25.669,25.669,25.669,25.669,29.336,29.336,29.336,25.669,25.669,33.003,36.67,36.67,40.337,40.337,44.004,47.671,47.671,47.671,55.005,58.672,60,60,80,80,80,100,80,100,110,110,130,150,120,140,160,160,170,180,180,500,180,170,250,170,180,180,180,170,180,,
Denmark,29779.707,31734.218,36926.69,40707.367,43189.926,44337.697,50127.89,49075.461,53325.514,59401.733,62100.645,57062.187,59643.755,59266.054,55078.34,55778.737,60135.133,61847.622,61117.889,62999.06,60369.821,51789.041,53695.881,50175.561,50861.29,60072.794,58903.021,58341.97,55107.676,48785.768,52080,62730,57010,59290,63190,59920,73300,63720,59740,56960,52710,53850,53980,59340,53890,50270,58210,53400,50120,47890,48180,43090,38210,39980,35760,33600,35380,33330,33380,,
Dominican Republic,1041.428,1030.427,1243.113,1250.447,1749.159,1547.474,1672.152,1569.476,2350.547,2654.908,3109.616,3523.987,4675.425,5966.209,6417.25,6340.243,6332.909,5614.177,5449.162,6809.619,6457.587,6167.894,6340.243,7913.386,7444.01,7293.663,8181.077,9754.22,9834.894,10366.609,7860,8230,9620,9520,11140,11850,12730,14500,16610,17790,18660,18970,20870,18720,17250,18660,20320,20580,20540,19630,20640,20870,21640,21250,21320,23450,24460,23390,25120,,
Algeria,6160.56,6065.218,5669.182,5427.16,5650.847,6596.933,8430.433,8441.434,9061.157,11276.025,15075.037,18668.697,28349.577,38312.816,31906.567,32031.245,39170.894,41891.808,62529.684,45621.147,66519.38,46438.888,39269.903,52625.117,71103.13,72786.283,76277.267,84120.98,83948.631,80046.943,67890,66940,66160,73470,71550,73050,71410,72830,74540,77540,78590,74770,80410,83840,84890,88990,93750,100520,103990,112770,113140,118140,126640,129910,138810,145970,143350,145100,151670,,
